DBD;KepadatanPenduduk;KetinggianWilayah;CurahHujan;PresentaseSanitasi
709;924;198;3033;76,42
272;1340;3110;2696;79,97
104;1487;1500;2731;76,33
187;1003;1245;3887;40,75
16;1124;998;4929;88,99
6;709;1064;2309;79,81
13;903;2250;3180;53,27
106;1184;1378;3282;78,4
218;1061;1564;2303;87,72
153;1925;160;2714;95,37
225;1864;125;4232;94,27
43;585;600;2312;92,97
200;1211;2000;2606;95,38
104;1045;141;2579;89,89
418;725;500;1773;89,37
209;491;500;2053;90,51
165;730;700;1248;89,94
170;894;1000;1860;91,67
169;2005;1600;3562;93,8
90;1122;1301;4245;66,59
68;1347;100;2923;91,38
35;1115;1450;2677;91,01
31;948;1684;3523;68,05
88;917;2579;2465;83,81
22;1023;2565;3261;66,96
172;1167;1294;2815;78,57
16;1328;925;2463;77,89
193;1836;949;1917;84,23
32;1047;2190;3513;80,1
25;7572;380;3284;84,04
38;11361;105;2322;88,73
12;3374;825;2999;98,07
290;4432;340;2470;93,67
39;6813;6;3646;94,62
50;6950;3;2152;92,77
